title,content,source_url,source_type,competitor,dimension,collected_at,record_id
寿光黄瓜批发价小幅下探,山东寿光黄瓜精品货批发价较昨日下调0.2元/kg，到货量增加，适合作为本周采购基准价。,https://manual.local/wholesale/shouguang-cucumber/sgc001,csv,山东寿光黄瓜,price,2026-07-01,957eb3c5cabe600b
寿光黄瓜统货供应充足,寿光产区黄瓜统货供应稳定，价格低于精品货0.54元/kg，适合对价格敏感的批发采购。,https://manual.local/wholesale/shouguang-cucumber/sgc002,csv,山东寿光黄瓜,price,2026-07-01,fe656f2b7361f071
寿光黄瓜到货价回升,受周边市场补货影响，寿光黄瓜到货价较前一日回升0.08元/kg，需关注后续价差变化。,https://manual.local/wholesale/shouguang-cucumber/sgc003,csv,山东寿光黄瓜,price,2026-07-02,3c632cfa84511e24
寿光黄瓜精品货采购窗口收窄,寿光黄瓜精品货报价继续上行，和河北黄瓜价差扩大，短期采购优势减弱。,https://manual.local/wholesale/shouguang-cucumber/sgc004,csv,山东寿光黄瓜,price,2026-07-03,2e8b698c1fe901ea
寿光黄瓜统货仍具备备货价值,寿光黄瓜统货价格维持低位，适合作为混批渠道的补充货源。,https://manual.local/wholesale/shouguang-cucumber/sgc005,csv,山东寿光黄瓜,price,2026-07-03,71a1082b8b47e026
河北黄瓜批发价低于寿光货源,河北黄瓜精品货到货价低于山东寿光黄瓜0.18元/kg，短期具备采购替代优势。,https://manual.local/wholesale/hebei-cucumber/hbc001,csv,河北黄瓜,price,2026-07-01,88d9abbdfd06267a
河北黄瓜统货低价到货,河北黄瓜统货批发价低于寿光统货，适合价格敏感型批发客户采购。,https://manual.local/wholesale/hebei-cucumber/hbc002,csv,河北黄瓜,price,2026-07-01,7340381cbc81a435
河北降雨影响黄瓜采收,河北部分产区降雨导致采收节奏放缓，精品黄瓜报价较昨日上涨0.12元/kg。,https://manual.local/wholesale/hebei-cucumber/hbc003,csv,河北黄瓜,price,2026-07-02,2aa86d7de0df2603
河北黄瓜价差优势收窄,河北黄瓜到货价上行，和山东寿光黄瓜的价差缩小，建议降低单一货源依赖。,https://manual.local/wholesale/hebei-cucumber/hbc004,csv,河北黄瓜,price,2026-07-03,73a188a9bf3a5565
河北统货适合补量采购,河北黄瓜统货仍保持低价，适合在寿光精品货价格上行时补量采购。,https://manual.local/wholesale/hebei-cucumber/hbc005,csv,河北黄瓜,price,2026-07-03,dd821349a74eb774
辽宁批发市场黄瓜报价偏低,辽宁某批发市场黄瓜到货价低于寿光和河北货源，区域低价竞争信号明显。,https://manual.local/wholesale/liaoning-cucumber/lnc001,csv,辽宁批发市场黄瓜,price,2026-07-01,574d93780fbf747f
辽宁黄瓜统货低价冲击,辽宁市场黄瓜统货低价到货，对周边批发渠道形成价格压力。,https://manual.local/wholesale/liaoning-cucumber/lnc002,csv,辽宁批发市场黄瓜,price,2026-07-01,b715027b7dbac155
辽宁黄瓜价格稳定,辽宁批发市场黄瓜报价连续两日稳定，适合作为低价补充货源观察对象。,https://manual.local/wholesale/liaoning-cucumber/lnc003,csv,辽宁批发市场黄瓜,price,2026-07-02,a04f5050f0e52019
辽宁黄瓜受物流成本影响上调,受跨区域运输成本影响，辽宁批发市场黄瓜到货价上调0.10元/kg。,https://manual.local/wholesale/liaoning-cucumber/lnc004,csv,辽宁批发市场黄瓜,price,2026-07-03,1f76d21c982b9c64
辽宁黄瓜统货采购优势仍在,辽宁黄瓜统货价格仍低于寿光统货，适合作为采购比价样本。,https://manual.local/wholesale/liaoning-cucumber/lnc005,csv,辽宁批发市场黄瓜,price,2026-07-03,934e9e75b9a09f24
寿光黄瓜新批次集中上市,山东寿光黄瓜新批次开始集中上市，精品货规格稳定，预计短期到货量增加。,https://manual.local/wholesale/supply/sup001,csv,山东寿光黄瓜,new_product,2026-07-01,ba34aa24fc91b64c
河北黄瓜新增中果规格,河北产区黄瓜新增中果规格供应，适合对外观等级要求较低的批发渠道。,https://manual.local/wholesale/supply/sup002,csv,河北黄瓜,new_product,2026-07-02,3fa73ffa3a2c0e95
辽宁市场补充东北黄瓜货源,辽宁批发市场新增东北黄瓜到货批次，统货供应量增加。,https://manual.local/wholesale/supply/sup003,csv,辽宁批发市场黄瓜,new_product,2026-07-02,b16a6a5f2943ea8a
华北鸡蛋供应恢复,华北鸡蛋供应源到货量恢复，批发报价较上周回落。,https://manual.local/wholesale/supply/sup004,csv,华北鸡蛋供应源,new_product,2026-07-03,c2e2761558c76239
东北猪肉冷链批次到货,东北猪肉供应渠道新增冷链批次到货，适合补充猪肉采购样本。,https://manual.local/wholesale/supply/sup005,csv,东北猪肉供应渠道,new_product,2026-07-03,8fd8eb9771a5c539
寿光黄瓜抽检结果合格,公开监管样例显示寿光黄瓜抽检批次农残指标合格，短期质量风险较低。,https://manual.local/wholesale/risk/risk001,csv,山东寿光黄瓜,sentiment,2026-07-01,019502265d0c2c94
河北黄瓜雨后腐损率上升,河北产区雨后部分统货黄瓜腐损率上升，建议采购时提高验货比例。,https://manual.local/wholesale/risk/risk002,csv,河北黄瓜,price,2026-07-02,61c9fda8f3ad9ab0
辽宁黄瓜到货存在计量争议,辽宁某批发市场黄瓜到货抽样称重出现缺斤少两反馈，需关注计量风险。,https://manual.local/wholesale/risk/risk003,csv,辽宁批发市场黄瓜,sentiment,2026-07-02,5535869d6fe9e9e7
华北鸡蛋供应短缺预警解除,华北鸡蛋到货量恢复，前期供应短缺风险下降。,https://manual.local/wholesale/risk/risk004,csv,华北鸡蛋供应源,sentiment,2026-07-03,f9e5a779660d17d1
东北猪肉冷链延误风险,东北猪肉供应渠道受冷链车辆调度影响，到货时间可能延迟半日。,https://manual.local/wholesale/risk/risk005,csv,东北猪肉供应渠道,new_product,2026-07-03,ffa572af49340d12
河北降雨影响黄瓜采收,河北局部降雨影响黄瓜采收和短途集货，到货节奏放缓。,https://manual.local/wholesale/logistics/log001,csv,河北黄瓜,price,2026-07-02,6b74bb731b723020
辽宁黄瓜跨区运输成本上升,辽宁黄瓜跨区域运输成本上升，低价优势有所收窄。,https://manual.local/wholesale/logistics/log002,csv,辽宁批发市场黄瓜,price,2026-07-03,022e8adf5f3293a5
寿光黄瓜出货节奏正常,寿光产区黄瓜出货节奏正常，短期物流风险较低。,https://manual.local/wholesale/logistics/log003,csv,山东寿光黄瓜,sentiment,2026-07-03,7a76e41279e3a058
